model,b,b_0,a,a_0
Transformer++,0.5506258241771704,0.84352602101728,0.5518831999583678,0.0005508925946374536
Mamba,0.48687110601153105,13.355760557649642,0.3877050339777191,1.844566212873055
Hyena,0.49868132360325895,6.756308907300762,0.5040350057983791,0.020623488013465436
StripedHyena,0.5387061193279415,1.0991725246134816,0.48336884295533095,0.046412600670635726
